Author,Rating,Review Text,Review Text Length,Word Count,Avg Word Length,Rating Binary,Sentiment Polarity,Sentiment
shota armstrong,1,could give star would worst experi ive tri ship someth got peopl receiv littl help dealt anyon els reenter ship info time comput actual work info alreadi label made make label reason whatev reason employe couldnt ship everyth taken minut minut ordeal ladi phone said take packag day got centr said call place within minut get centr flight leav monday night either way system use reliabl,386,66,4.863636363636363,0,-0.5,negative
C H,1,never tell theyr deliv alway ventur somewher away home pick packag everi singl time despit ask notifi packag arriv im sorri miss motto,134,23,4.869565217391305,0,0.0,neutral
Zenah Surani,5,individu work sunday juli th day help couldnt find track number phone id saw struggl retriev packag anway ask question thank help effici,136,23,4.956521739130435,1,0.0,neutral
Dakkar (Rabanne),1,im yet receiv packag purol time buy someth onlin expens find use purol ship becom anxiou worri top deliv packag late driver doesnt even bother ring bell dump packag outsid anyon steal everyth becam clear start make sens learnt own canada post call merchant hand ask differ ship option ship purol dont buy,304,53,4.754716981132075,0,0.225,positive
Jag Gill,4,ive use hawthorn locat mani time alway pleasant experi peopl work joy seem enjoy work staff go beyond much appreci,114,20,4.75,1,0.5333333333333333,positive
Shannon MacCuaig,1,repeatedli purol truck come door note say miss ring knock packag hand word intent tri give packag go fetch locat im sure fair give locat one star dont know driver direct experi locat good couldnt anyth driver question complain,226,39,4.82051282051282,0,0.5,positive
Barbara Houghton,1,sinc christma storedropoff locat longer give receipt drop packag parcel scan untrack thu custom proof drop parcel excus given receipt paper expens realli purol im sure afford charg mayb ask canada post paper loan vanessa obvious read post correctli talk proof drop ship label good scan scenario drop packag leav store later look system track updat see one cant find go back store next day show clerk two track number hesh find one system drop two packag say sorri maam one sure brought two packag proof drop receipt custom leav store clerk get busi parcel put wrong place think scan scan pass parcel scan front custom proof drop receipt provid custom leav store mistak happen know year postal busi work mani depart includ plant know im talk longer use purol reason agre need cut cost cut custom proof confid one definit good busi practic custom merchandis suppos number one prioriti,882,150,4.886666666666667,0,0.2111111111111111,positive
Portal,1,anyon know compani still busi today read review im surpris also met bad servic know deliv packag sever week deliveri person call even live apart build avoid compani incap call peopl deliv packag separ want say custom servic gener rude indiffer peopl work call three time explain three time deliveri man would call upon arriv would go downstair pick driver even climb top floor useless irrespons peopl job badli request packag return sender use anoth courier compani send packag purol,483,80,5.05,0,-0.1727272727272727,neutral
Cody Vanasse,1,walk door dont even knock put note door walk away make go pick happen time certain driver,89,17,4.294117647058823,0,0.21428571428571427,positive
Ranmal Perera,5,hi im guy basketbal hat went purol store return bell wifi pod quick excel servic hassl ever,91,17,4.411764705882353,1,0.3333333333333333,positive
Naalah Yodoma,1,worst experi ever deliveri servic day deliveri monday call leav packag without signatur sinc work said miss deliveri ask send packag pick locat sinc main locat realli far citi sort error twice two day row mean driver didnt pickup right packag make deliveri friday today sinc close weekend wait monday packag dont anoth sort error call ask pickup main locat sinc incap right deliveri spend anoth weekend without internet couldnt even prepar packag pickup close time mistak spent whole week spend weekend without internet work home disappoint experi,547,88,5.2272727272727275,0,-0.023082010582010593,neutral
lud_genesis (genesis011),1,unfriendliest staff ive ever met tri rush door need proof resid even tho email confirm order realli terribl experi around,121,20,5.1,0,0.0,neutral
J L,1,follow proper procedur driver forg signatur attempt knock door advis deliveri avoid packag ship via purol cost,110,17,5.529411764705882,0,0.0,neutral
Michelle S,1,order new phone bell deliv latewhil partner kuwait despit fill sever signatur need form year live wood mean go pick partner call kuwait see could hold onto phone past day maximum attest pickup ticket sinc middl east spent hour tri get someon someon say would call back never went today tuesdayclos new phone arew sure exactli known purol courrier id stuck roger terribl experi servic guy still busi,398,68,4.867647058823529,0,0.030823863636363635,neutral
Guy Lachance,1,home didnt attempt deliv even say declar invalid adress address intelcom deliv call chat custom servic time pickup track still hasnt updat wait show readi pickup anywher like slow packag hostag servic,200,32,5.28125,0,-0.30000000000000004,negative
saeed ghoddous,5,impress custom support zach although shift almost stay help ship item he best,77,13,5.0,1,1.0,positive
Kerry Wilson,2,drop mostli realli isnt anyon help questionconcern give impress home hardwar desk locat within realli doesnt care much busi,123,19,5.526315789473684,0,0.2,positive
Boris Shpungin,1,came today purol locat drop prepaid packag staff rude form refus accept packag provid receipt tri avoid establish wast time come terribl servic,143,23,5.260869565217392,0,-0.3,negative
